"site_ID","M_YEAR","total_abund","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
1,2021,12.2687343573637,10,2,1,3,2,0.874702574988083,0,0,0,0.948382238668974,0,0,0,0.618906396184263,0,0.125165558904769,0,353.650543804382,574.625537880668,4
2,2020,24.8880039820806,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,15
3,2016,23.2363602565294,100,2,1,6,4,0,0,0,1,0,0,0,1,0,0.0497976837513693,0.000150894380585693,0.945464257103469,487.772713138086,0,5
3,2019,15.2625152625153,100,2,1,6,4,0,0,0,1,0,0,0,1,0,0.0497976837513693,0.000150894380585693,0.945464257103469,487.772713138086,0,3
4,2016,8.6764131707952,12,1,1,8,2,0.216849452687722,0,0,0.783150547312278,0.0374156969195436,0,0,0.962584303080456,0.026253179814737,0,0.255232462436719,0.718514357748544,257.885615946893,7.80334823025038,6
5,2016,4.35540069686411,0,2,2,5,3,0,0,0.171076611628616,0.828923388371384,0,0,0.423080283232403,0.576919716767597,0,0.0233884037174876,0.5085837540999,0.436601116034381,62.3935808915135,0,3
6,2018,32.0907097395304,170,1,1,5,3,0,0,0.338932001179465,0.55759448726066,0,0,0.187909919044507,0.609623198537899,0,0,0.148318279502805,0.612154718241416,15.3348900935932,0,3
7,2016,69.5447854914723,350,1,1,6,4,0,0,1,0,0,0,0.730445096944897,0.0130782371034544,0,0,0.619653372183769,0.00933421651229967,0,180.546934300318,22
8,2017,39.4376652902148,200,2,2,4,4,0,0,0.307584351561433,0.590930565252445,0,0,0.212986537552851,0.465957102178718,0.0088357229357727,0,0.231398695573864,0.403849045189663,14.024451919163,0,8
8,2018,11.134617525888,200,2,2,4,4,0,0,0.307584351561433,0.590930565252445,0,0,0.212986537552851,0.465957102178718,0.0088357229357727,0,0.231398695573864,0.403849045189663,14.024451919163,0,5
